time,open,high,low,close,LongExit WMA,200 Day Weighted Moving Average,Hull,LongExit WMA,200 Day Weighted Moving Average,Hull,Omega Candles (Open),Omega Candles (High,Omega Candles (Low),Omega Candles (Close),AlphaTrend,AlphaTrend Candles (Open),AlphaTrend Candles (High,AlphaTrend Candles (Low),AlphaTrend Candles (Close),AlphaTrend Candles (Open),AlphaTrend Candles (High,AlphaTrend Candles (Low),AlphaTrend Candles (Close),Signal 1. Long,Signal 2. Long,Signal 3. Long,Signal 4. Short,Signal 5. Short,Signal 6. Long,Signal 7. Short,Signal 8. Long,Upper Band 1,Upper Band 2,Upper Band 3,Upper Band 4,Upper Band 5,Upper Band 6,Upper Band 7,Lower Band 1,Lower Band 2,Lower Band 3,Lower Band 4,Lower Band 5,Lower Band 6,Lower Band 7,WMA (blue line),Colored Dots,Volatility-Adj.WMA,Hull,MA 1,MA 2,Plot,Plot,MA 3,Plot,Plot,MA 4,Plot,Plot,MA 5,Plot,Plot,LinReg of Src,Trend,Trend MA1,Signal 1,Signal 2,Trigger,EMA Avg,Plot,Plot,Trend,MA 1,LR of MA1,MA 2,LR of MA2,MA 3,LR of MA3,mA 4,LR of MA4,Red MMC 2,Red MMC 3,Green MMC 2,Green MMC 3
1706041800,35.88,36.01,35.69,35.9,30.24237915543576,23.34589701492538,NaN,30.132891955372877,23.34589701492538,NaN,35.88,36.01,35.69,35.9,NaN,NaN,36.01,35.69,35.9,NaN,36.01,35.69,35.9,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.249923351074294,NaN,NaN,NaN,35.431037627413716,34.6565062322354,31.91621417797889,32.303479875568044,31.528948480389737,NaN,30.688044153301345,29.913512758123037,NaN,30.629644853024914,29.855113457846606,NaN,79.17570472269905,76.90911062966136,78.06474983131805,NaN,78.0424076761802,NaN,NaN,NaN,NaN,0.3899779158624194,NaN,0.4118177809530934,0.44702771496862925,NaN,NaN,0.6183484145826942,NaN,0.38068544859842035,NaN,NaN,NaN
1706106600,37.1,38.57,36.26,38.28,30.400448337825697,23.34589701492538,NaN,30.25980681150911,23.34589701492538,NaN,37.1,38.57,36.26,38.28,NaN,NaN,38.57,36.26,38.28,NaN,38.57,36.26,38.28,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.83263458808676,NaN,NaN,NaN,35.86766868388811,35.071512602661585,32.21752639517345,32.615604435786715,31.819448354560187,NaN,30.870358705456514,30.074202624229986,NaN,30.79852637843896,30.002370297212433,NaN,91.86217162082731,79.4847477550904,78.06185873073869,NaN,85.67345968795885,NaN,NaN,NaN,NaN,0.5654096858013347,NaN,0.487465431982802,0.4444821057515853,NaN,NaN,0.6298610255990554,NaN,NaN,NaN,NaN,NaN
1706112000,38.28,38.68,37.96,38.61,30.56320575022461,23.34589701492538,NaN,30.39084145625366,23.34589701492538,NaN,38.28,38.68,37.96,38.61,NaN,NaN,38.68,37.96,38.61,NaN,38.68,37.96,38.61,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.33787123387007,NaN,NaN,NaN,36.28218006722467,35.48606554681041,32.52412895927602,32.92218621948315,32.12607169906889,NaN,31.04694322696497,30.250828706550706,NaN,30.961263010431743,30.16514849001748,NaN,92.6111440111147,81.96140730571092,78.81009528972794,NaN,87.28627565841282,NaN,NaN,NaN,NaN,0.7563904284931079,NaN,0.6020687059553471,0.49513992616667457,NaN,NaN,0.6505785548960488,NaN,NaN,NaN,NaN,NaN
1706117400,38.62,38.92,37.98,38.26,30.717745732255167,23.34589701492538,NaN,30.51552613035819,23.34589701492538,NaN,38.62,38.92,37.98,38.26,NaN,NaN,38.92,37.98,38.26,NaN,38.92,37.98,38.26,0,0,0,0,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.647846073343246,NaN,NaN,NaN,36.61737534257582,35.818881967365705,32.80913273001509,33.208379417620144,32.40988604241003,NaN,31.215895120173965,30.417401744963843,NaN,31.116992419860228,30.318499044650107,NaN,82.9004649963673,82.50141462318155,79.76096770062466,NaN,82.70093980977443,NaN,NaN,NaN,NaN,0.7913763515847378,NaN,0.6858080938992378,0.5720115940404359,NaN,NaN,0.6666765130152218,NaN,0.7842146571079738,NaN,NaN,NaN
1706122800,38.26,38.28,37.08,37.09,30.8486846361186,23.34589701492538,NaN,30.62132061068702,23.34589701492538,NaN,38.26,38.28,37.08,37.09,NaN,NaN,38.28,37.08,37.09,NaN,38.28,37.08,37.09,0,0,0,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.733159697261065,NaN,NaN,NaN,36.78942732014421,35.9857188786862,33.04191930618402,33.44377352691303,32.640065085455014,NaN,31.360985295839473,30.557276854381453,NaN,31.25053885684761,30.446830415389588,NaN,58.35530940954542,78.53063673377711,79.70575370391629,NaN,68.44297307166127,NaN,NaN,NaN,NaN,0.637721531572403,NaN,0.671504116764919,0.6287550757164443,NaN,NaN,0.662782118016227,NaN,NaN,NaN,NaN,NaN
1706128200,37.09,37.78,37.03,37.48,30.985770889487867,23.50096169154228,NaN,30.732248385202585,23.50096169154228,NaN,37.09,37.78,37.03,37.48,NaN,NaN,37.78,37.03,37.48,NaN,37.78,37.03,37.48,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.852532823662784,NaN,NaN,NaN,36.97389050308312,36.16996914603968,33.283461538461545,33.68542221698326,32.88150085993983,NaN,31.510442689882975,30.70652133283954,NaN,31.387731568009585,30.58381021096615,NaN,62.765109437365254,75.81299456802603,78.96557624163209,NaN,69.28905200269564,NaN,NaN,NaN,NaN,0.49592419212766004,NaN,0.6125306100645082,0.6466091974038221,NaN,NaN,0.6487227097387576,NaN,NaN,NaN,NaN,NaN
1706193000,39.51,39.53,37.855,38.51,31.14099011680143,23.50096169154228,NaN,30.85804638872577,23.50096169154228,NaN,39.51,39.53,37.855,38.51,NaN,NaN,39.53,37.855,38.51,NaN,39.53,37.855,38.51,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.08676835152842,NaN,NaN,NaN,37.25076577933884,36.43233363586584,33.557899698340876,33.96711577007738,33.148683626604374,NaN,31.686908055746592,30.86847591227359,NaN,31.55020618853793,30.731774045064927,NaN,72.12108352940353,75.02445150746743,78.07195148481941,NaN,73.57276751843548,NaN,NaN,NaN,NaN,0.49612622050417815,NaN,0.5653982547088783,0.6323923697784223,NaN,NaN,0.6370264344184464,NaN,0.5133649288616766,NaN,NaN,NaN
1706198400,38.51,39.08,38.19,38.305,31.290925426774482,23.50096169154228,NaN,30.979860833822674,23.50096169154228,NaN,38.51,39.08,38.19,38.305,NaN,NaN,39.08,38.19,38.305,NaN,39.08,38.19,38.305,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.265825632478425,NaN,NaN,NaN,37.47586686423551,36.65582904219724,33.81687028657617,34.226889197595305,33.40685137555703,NaN,31.851462209988203,31.03142438794993,NaN,31.70094433779362,30.880906515755346,NaN,68.03799924162195,73.43589492391041,76.8317872930513,NaN,70.73694708276618,NaN,NaN,NaN,NaN,0.49071444316026697,NaN,0.5165677815386179,0.5873839037263144,NaN,NaN,0.6221538381068966,NaN,0.4793892003095621,NaN,NaN,NaN
1706203800,38.31,38.36,36.905,36.95,31.4139227313567,23.50096169154228,NaN,31.080146799765114,23.50096169154228,NaN,38.31,38.36,36.905,36.95,NaN,NaN,38.36,36.905,36.95,NaN,38.36,36.905,36.95,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.28142733562419,NaN,NaN,NaN,37.54058788857561,36.71274544475772,34.016074660633485,34.42999588254243,33.60215343872454,NaN,31.990169906949973,31.16232746313208,NaN,31.827843953265646,31.000001509447753,NaN,46.95358501386978,68.11418855759193,74.40091923048655,NaN,57.53388678573086,NaN,NaN,NaN,NaN,0.3255583101439399,NaN,0.41257589930079347,0.5085601441231188,NaN,NaN,0.5895612744566872,NaN,NaN,NaN,NaN,NaN
1706209200,36.94,37.38,36.52,37.16,31.539763701707088,23.50096169154228,NaN,31.18288138578978,23.50096169154228,NaN,36.94,37.38,36.52,37.16,NaN,NaN,37.38,36.52,37.16,NaN,37.38,36.52,37.16,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.306884755490486,NaN,NaN,NaN,37.61205586933898,36.783031849959265,34.21664404223228,34.63115605192214,33.802132032542424,NaN,32.128812451516076,31.299788432136364,NaN,31.954275711396942,31.125251692017233,NaN,49.84421361461762,63.834154973907104,71.21839059449782,NaN,56.83918429426237,NaN,NaN,NaN,NaN,0.17421559630341696,NaN,0.3070751688205694,0.4137787008217786,NaN,NaN,0.5491616683666427,NaN,NaN,NaN,NaN,NaN
